주소,y,x,수,코드
서울특별시 종로구 청운동,37.58919744,126.9693298,42,11110101
서울특별시 종로구 신교동,37.58449028,126.9679233,16,11110102
서울특별시 종로구 궁정동,37.58468259,126.9731448,6,11110103
서울특별시 종로구 효자동,37.58264967,126.9719319,9,11110104
서울특별시 종로구 창성동,37.58054507,126.9724625,8,11110105
서울특별시 종로구 통의동,37.57805842,126.9728528,7,11110106
서울특별시 종로구 적선동,37.57527996,126.973773,6,11110107
서울특별시 종로구 통인동,37.58014448,126.970212,8,11110108
서울특별시 종로구 누상동,37.58002688,126.9622647,33,11110109
서울특별시 종로구 누하동,37.57928263,126.9682742,6,11110110
서울특별시 종로구 옥인동,37.58352309,126.963386,27,11110111
서울특별시 종로구 체부동,37.57758943,126.9708696,10,11110112
서울특별시 종로구 필운동,37.57780125,126.9677495,12,11110113
서울특별시 종로구 내자동,37.57530471,126.9717173,62,11110114
서울특별시 종로구 사직동,37.57618697,126.9688461,61,11110115
서울특별시 종로구 도렴동,37.57316101,126.9746477,5,11110116
서울특별시 종로구 당주동,37.57157152,126.9740007,9,11110117
서울특별시 종로구 내수동,37.57330817,126.9719625,69,11110118
서울특별시 종로구 세종로,37.58019281,126.9767782,33,11110119
서울특별시 종로구 신문로1가,37.57017315,126.9739016,55,11110120
서울특별시 종로구 신문로2가,37.57066229,126.9697222,20,11110121
서울특별시 종로구 청진동,37.57143936,126.9801542,9,11110122
서울특별시 종로구 서린동,37.56951127,126.9803992,13,11110123
서울특별시 종로구 수송동,37.57367751,126.9806109,55,11110124
서울특별시 종로구 중학동,37.57528472,126.9796415,2,11110125
서울특별시 종로구 종로1가,37.57025726,126.98015,7,11110126
서울특별시 종로구 공평동,37.57126684,126.9831472,9,11110127
서울특별시 종로구 관훈동,37.57412861,126.9846906,5,11110128
서울특별시 종로구 견지동,37.57319135,126.9830607,12,11110129
서울특별시 종로구 와룡동,37.58234274,126.9912146,4,11110130
서울특별시 종로구 권농동,37.57432393,126.9917634,4,11110131
서울특별시 종로구 운니동,37.57637429,126.9882221,5,11110132
서울특별시 종로구 익선동,37.57433458,126.9896941,8,11110133
서울특별시 종로구 경운동,37.57518839,126.9863839,3,11110134
서울특별시 종로구 관철동,37.56910482,126.9859866,13,11110135
서울특별시 종로구 인사동,37.5717033,126.9860495,4,11110136
서울특별시 종로구 낙원동,37.57255772,126.9886076,11,11110137
서울특별시 종로구 종로2가,37.57088904,126.9882502,2,11110138
서울특별시 종로구 팔판동,37.58281,126.9806765,4,11110139
서울특별시 종로구 삼청동,37.58499778,126.9817583,15,11110140
서울특별시 종로구 안국동,37.57738646,126.9836077,4,11110141
서울특별시 종로구 소격동,37.57962412,126.9809083,3,11110142
서울특별시 종로구 화동,37.58069118,126.9826967,1,11110143
서울특별시 종로구 사간동,37.57725262,126.9803791,5,11110144
서울특별시 종로구 송현동,37.57675911,126.9818463,0,11110145
서울특별시 종로구 가회동,37.58009681,126.9847845,15,11110146
서울특별시 종로구 재동,37.57830209,126.9852467,1,11110147
서울특별시 종로구 계동,37.58243244,126.9869034,12,11110148
서울특별시 종로구 원서동,37.58393183,126.9882662,17,11110149
서울특별시 종로구 훈정동,37.57436372,126.9941724,0,11110150
