,주소,y,x
0,서울특별시 강남구 남부순환로3104,37.49567866,127.071912
1,서울특별시 강남구 개포로 621,37.49413139,127.0787831
2,서울특별시 송파구 양재대로 932,37.49453769,127.1087136
3,서울특별시 강남구 삼성로 628,37.51591066,127.0521426
4,서울특별시 강남구 선릉로108길 27,37.5103126,127.0463796
5,서울특별시 강동구 성내로 25,37.53016097,127.1237923
6,"서울특별시 강남구 개포로 509, 지하주차장 1층 8구역(개포동 183-2)",37.48970641,127.0682905
7,서울특별시 송파구 오금로68길8,37.49228385,127.1503534
8,서울특별시 송파구 백제고분로 242,37.50235785,127.0934902
9,서울특별시 강동구 천호대로 1183,37.53456231,127.1426858
10,서울특별시 강남구 봉은사로 130 지하5층 우측,37.50528056,127.0289194
11,서울특별시 강남구 개포로 25길 32,37.48202594,127.0484223
12,서울특별시 강남구 강남대로120길 33,37.50848958,127.0262229
13,서울특별시 강남구 개포동 13-2,37.49495024,127.0792999
14,"서울특별시 동작구 현충로 213, 출입구 왼쪽(동작동 326)",37.50364325,126.9786893
15,서울특별시 송파구 중대로 80 지하4층 C8,37.49176204,127.1178428
16,"서울특별시 송파구 올림픽로 240, 지하주차장 1층 M148구역(잠실동 40-1)",37.51130961,127.0981418
17,서울특별시 송파구 성내천로299-7,37.49427949,127.1562576
18,서울특별시 서초구 서초대로54길 45,37.49232427,127.016811
19,서울특별시 서초구 반포동 49-8,37.50003627,127.0104451
20,서울특별시 서초구 사평대로28길 70,37.49748589,127.0003286
21,서울특별시 서초구 방배로23길 31-6,37.48545108,126.9925624
22,"서울특별시 서초구 과천대로 950-18, 지상주차장 북주차장(우측)(방배동 507-1)",37.4752427,126.9839861
23,서울특별시 서초구 양재대로12길 73-71 (원지동),37.45964464,127.0426249
24,서울특별시 서초구 남부순환로 340길 58,37.48119596,127.0234336
25,서울특별시 송파구 올림픽로424,37.5203397,127.1155179
26,서울특별시 서초구 양재대로12길 74 1층 입구,37.45203345,127.0428112
27,서울특별시 서초구 남부순환로 2584,37.48362486,127.032683
28,"서울특별시 강남구 수서동 735, 지상주차장 북주차장(우측)",37.48792882,127.0999263
29,서울특별시 서초구 양재동 237,37.47254682,127.0382402
30,서울특별시 송파구 잠실동 84 우측 끝,37.51026916,127.0763975
31,서울특별시 강동구 고덕로28길 36 지하1층 좌측,37.55270787,127.1379968
32,서울특별시 강남구 압구정로 161,37.52684175,127.0270569
33,서울특별시 강남구 압구정동 453,37.52972693,127.0278511
34,서울특별시 송파구 올림픽로 424 ,37.5203397,127.1155179
35,"서울특별시 강동구 고덕로 276, 지하주차장 1층 E구역(명일동 46-4)",37.55470672,127.1556131
36,"서울특별시 서초구 매헌로 16, 지하주차장 2층 Z구역(양재동 215)",37.46246735,127.0369479
37,서울특별시 강남구 개포로 607,37.49215148,127.0736788
38,서울특별시 강남구 광평로 126,37.48337906,127.0864829
39,서울특별시 동작구 흑석로 102 다정관 뒤편,37.50603801,126.9604218
40,서울특별시 송파구 성내천로33가길20,37.50024799,127.1548402
41,서울특별시 강동구 진황도로29길 34 지하1층 26,37.53912769,127.1332691
42,서울특별시 강남구 개포로 625,37.49778119,127.0824762
43,서울특별시 강남구 일원동 4-49,37.49412287,127.0874366
44,서울특별시 강남구 테헤란로606,37.50873367,127.0642817
45,"서울특별시 강남구 남부순환로 3104, 지하주차장 3층 M418구역(대치동 514)",37.49567866,127.071912
46,서울특별시 동작구 대방동 70-5 ,37.5139278,126.9314287
47,"서울특별시 동작구 노량진로 53, 현대자동차 남부서비스센터 본관 후문 주차장(대방동 70-1)",37.51394483,126.9344471
48,서울특별시 동작구 장승배기로 161동작구청 별관앞 부설주차장,37.51252777,126.9399421
49,서울특별시 송파구 장지동,37.47855526,127.1365732
50,서울특별시 송파구 송파대로 지하6(596-21 복정역),37.471056,127.1267712
51,서울특별시 서초구 바우뫼로12길 73(그린에너지 스테이션),37.46837777,127.0343737
52,서울특별시 강동구 천호대로 지하997(455 천호역),37.53857898,127.1237424
53,서울특별시 강동구 천호대로 1015천호역공영주차장 지하1층 A35구역 ,37.53850411,127.1251077
54,서울특별시 강남구 논현로 516주유소 입구 부근(역삼동 668-13),37.50273402,127.0364874
55,서울특별시 강남구 논현로 508 (GS타워 지하5층),37.50199493,127.0373364
56,서울특별시 송파구 탄천동로 740주유소 출구 부근(장지동 875-1),37.47583755,127.1236412
57,서울특별시 동작구 여의대방로 214주유소 출구 부근(383-19 대방주유소),37.50573583,126.9228813
58,서울특별시 강남구 봉은사로113길 51동호주유소,37.51851331,127.0646763
59,서울특별시 강동구 천호대로 1452충전소 입구 부근,37.54506031,127.1700315
60,서울특별시 서초구 사평대로 364주유소 사무실 우측 부근,37.50373272,127.0231956
61,서울특별시 강남구 삼성로 563주유소 입구 부근,37.51188486,127.053593
62,서울특별시 서초구 동작대로 206선천주유소,37.49493332,126.9832156
63,서울특별시 송파구 위례중앙로 43주유소 출구 부근(장지동 908),37.47535281,127.1322885
64,서울특별시 강동구 양재대로 1323신월주유소,37.52453521,127.1344215
65,서울특별시 강동구 올림픽로 791충전소 건물 좌측 부근,37.55176745,127.127877
66,서울특별시 서초구 남부순환로 2451연일주유소,37.48260195,127.0185804
67,서울특별시 송파구 동남로 153우리주유소(가락동 137-9),37.4924715,127.1273833
68,서울특별시 강남구 자곡동 자곡로 260 ,37.47654872,127.1116057
69,서울특별시 강남구 자곡동 자곡로3길 21 ,37.47176961,127.088116
70,서울특별시 강남구 선릉로 121길 12,37.51450075,127.0409805
71,서울특별시 서초구 우면동 788,37.4584617,127.0236549
73,서울특별시 송파구 중대로20길 6(가락동),37.49867675,127.1266095
74,서울특별시 송파구 가락동 동남로 193,37.49469823,127.1292231
75,서울특별시 송파구 가락동 중대로12길 35,37.49201556,127.1254714
76,서울특별시 강남구 일원동 일원로 127,37.48315929,127.0853838
77,서울특별시 강남구 학동로 426,37.51796816,127.0470598
78,서울특별시 강남구 자곡동 자곡로 260,37.47654872,127.1116057
79,서울특별시 강남구 언주로 211,37.49280599,127.0463104
80,서울특별시 강남구 자곡동 자곡로 175,37.47425017,127.1025413
81,서울특별시 강남구 율현동 밤고개로27길 20,37.47090192,127.1097663
82,서울특별시 강남구 율현동 밤고개로26길 50,37.46781108,127.1048213
83,서울특별시 강동구 성내로 45,37.52954199,127.1255855
84,서울특별시 강동구 양재대로 1318,37.52386992,127.135445
85,서울특별시 강동구 천호동 천호대로 1089 ,37.53660488,127.1331156
86,서울특별시 강동구 강일동 아리수로94길 19,37.56273301,127.1772602
87,서울특별시 강동구 강일동 고덕로97길 20 ,37.55920849,127.1799976
88,서울특별시 강동구 강일동 고덕로97길 100,37.562735,127.1799929
89,서울특별시 강동구 강일동 아리수로93길 40 ,37.56551714,127.1751066
90,서울특별시 강동구 강일동 아리수로97길 20,37.56851427,127.1781372
91,서울특별시 강동구 아리수로98길 25,37.56527657,127.178359
92,서울특별시 강남구 역삼동 역삼로 306 ,37.49897727,127.0469596
93,서울특별시 강남구 역삼동 755-1,37.49972162,127.0499793
94,서울특별시 강남구 일원동 개포로110길 15,37.49324377,127.0791148
95,서울특별시 송파구 잠실동 40,37.51110383,127.0939187
96,서울특별시 송파구 거여동 양산로8길 8 ,37.49091614,127.144567
97,서울특별시 송파구 거마로2길 19(거여동),37.49353897,127.1468274
98,서울특별시 송파구 거여동 양산로4길 8 ,37.48958525,127.1433917
99,서울특별시 송파구 거여동 양산로4길 16 ,37.48920968,127.1449643
100,서울특별시 강동구 성내동 풍성로53길 40 ,37.5311317,127.1353857
101,서울특별시 강동구 상일로 74,37.55136837,127.1747855
102,서울특별시 강동구 고덕동 동남로79길 26,37.55918388,127.1537442
103,서울특별시 동작구 동작대로 19,37.47830883,126.9809585
104,서울특별시 서초구 논현로5길 29,37.47163961,127.0485047
105,서울특별시 서초구 반포대로 201지상주차장,37.4974226,127.0032279
106,서울특별시 강남구 삼성동 봉은사로111길 25 ,37.51673102,127.0647115
107,서울특별시 강동구 길동 명일로 293 ,37.54470657,127.1463634
108,서울특별시 서초구 양재대로2길 116-19,37.45687522,127.0159876
109,서울특별시 동작구 대방동 여의대방로44길 9,37.50973084,126.9259178
110,서울특별시 동작구 노량진로 47,37.51373753,126.9306811
111,서울특별시 동작구 상도동 양녕로 287지하3층,37.50540243,126.9493142
112,서울특별시 강남구 영동대로65길 24,37.50230433,127.0641877
113,서울특별시 강남구 대치동 삼성로64길 5,37.50044687,127.0605134
114,서울특별시 서초구 헌릉로 13(300-9 대한무역투자진흥공사(코트라)),37.46512254,127.0447513
115,서울특별시 송파구 올림픽로35길 93,37.51773252,127.1044332
