주소,y,x
서울특별시 마포구 매봉산로 37,37.57605164,126.8905995
서울특별시 마포구 매봉산로 80,37.57852975,126.8942848
서울특별시 성동구 둘레길 47-5,37.53696362,127.0490666
서울특별시 마포구 효창목길 31 옥상,37.54734247,126.9610094
서울특별시 은평구 진관동 66-30,37.63800642,126.9193012
"서울특별시 은평구 진관동 66-30, 지하주차장 1층 20구역",37.63800642,126.9193012
서울특별시 중구 장충단로 59 국립극장 좌측 출구 주차장,37.55199491,126.9992673
서울특별시 용산구 한강대로 62다길 42,37.53254991,126.9752414
"서울특별시 중구 동호로 287, 대형버스주차장(장충동2가 186-54)",37.56057906,127.0021233
서울특별시 서대문구 남가좌2동 3-75,37.58314586,126.9229851
"서울특별시 마포구 상암동 482-116, ",37.5673605,126.8789131
서울특별시 은평구 통일로 1050,37.63753667,126.9179003
서울특별시 중구 을지로 30,37.56534589,126.9810076
서울특별시 성동구 마장동 808(마장동 808),37.56581702,127.0461132
서울특별시 성동구 고산자로 26길 6,37.57047021,127.0382974
서울특별시 마포구 마포대로1길 9,37.53889096,126.9435029
서울특별시 마포구 월드컵로 212,37.56631284,126.9016157
서울특별시 마포구 성산로 128,37.56379544,126.9082019
서울특별시 마포구 동교로1길 39,37.55258188,126.9011428
서울특별시 종로구 창의문로 145,37.59241132,126.964065
서울특별시 은평구 진관동 278,37.65584629,126.9488621
서울특별시 마포구 성암로 197,37.57727379,126.8971661
서울특별시 성동구 청계천로 540,37.57161266,127.036048
서울특별시 종로구 새문안로 55,37.57049685,126.9710752
서울특별시 성동구 성덕정길 115,37.5371748,127.0561628
서울특별시 성동구 광나루로4가길 23,37.54912396,127.0551771
"서울특별시 종로구 세종대로 189, 지하주차장 4층 D구역 계단실 앞(세종로 80-1)",37.57343041,126.9759604
서울특별시 성동구 동일로 199,37.54996354,127.0680701
서울특별시 서대문구 연희로 353,37.58941122,126.9353558
"서울특별시 마포구 상암동 월드컵북로 58길 15, 지하4층 18",37.58235798,126.8866986
서울특별시 용산구 원효로35길 53 옥상,37.53528972,126.955207
서울특별시 마포구 토정로 2,37.54554956,126.9111988
서울특별시 마포구 토정로 2 2층 계단쪽,37.54554956,126.9111988
서울특별시 중구 청계천로 30,37.56850213,126.9807967
서울특별시 성동구 용답동 4-1,37.56457115,127.0543101
서울특별시 중구 소공로 51번지,37.55943907,126.9817507
서울특별시 은평구 진관1로 40 입구 앞,37.63044073,126.9235813
서울특별시 성동구 독서당로63길 40,37.55341241,127.0307694
"서울특별시 은평구 은평로 111, 지하주차장 4층 A구역(응암동 90-1)",37.60082547,126.9205135
서울특별시 은평구 은평로 111,37.60082547,126.9205135
서울특별시 용산구 회나무로 55？ ,37.54047812,126.9927159
"서울특별시 종로구 종로 157, 지하주차장 4층 하층 T구역(훈정동 1-2)",37.57313353,126.9948635
"서울특별시 마포구 노고산동 33-1, B3 28",37.55473462,126.9394176
서울특별시 서대문구 충정로2가 78-13,37.56519894,126.9646
서울특별시 종로구 인사동5길 29 지상주차장,37.57198777,126.9848419
서울특별시 종로구 창경궁로 215 우측,37.58203191,126.9970157
서울특별시 용산구 이태원로 224-19 지하3층 05,37.53485709,127.0002687
서울특별시 은평구 수색로 342-1,37.58667395,126.8880631
"서울특별시 마포구 월드컵로 240, 지상주차장 1층(성산동 529-16)",37.56828845,126.897273
서울특별시 서대문구 홍제내길 227 입구 좌측편,37.59083189,126.9410091
서울특별시 서대문구 연희로 248서대문구청 주차장(서대문구 연희동 168-6),37.57915463,126.9367592
서울특별시 서대문구 연희로 248(168-6 서대문구청),37.57915463,126.9367592
서울특별시 중구 덕수궁길 15(서울시청 서소문별관),37.56455419,126.9756136
서울특별시 중구 세종대로 110(31 서울특별시청),37.56631742,126.9778292
서울특별시 성동구 고산자로 270(7 성동구청),37.56342251,127.036965
"서울특별시 성동구 고산자로 270, 성동구청 부설주차장 지하2층 동측출입구",37.56342251,127.036965
서울특별시 종로구 송월길 52(1-1 국립기상박물관),37.57022174,126.9662042
서울특별시 은평구 은평로 195은평구청 부설주차장 정문,37.60245742,126.9288229
서울특별시 서대문구 홍제내2바길 18(359-1 이안휴빌A동),37.58494049,126.9375235
서울특별시 은평구 통일로 600녹번주유소(59-1 녹번주유소),37.60061717,126.9362807
서울특별시 은평구 응암로 210주유소 입구 부근,37.59058296,126.9176973
서울특별시 서대문구 통일로 195(영천동 305),37.57070986,126.9613698
서울특별시 종로구 율곡로 57(111-5 우리은행),37.57692972,126.9854672
서울특별시 마포구 마포대로 173-15,37.55119055,126.9521826
서울특별시 종로구 새문안로3길 30,37.57273715,126.9732814
서울특별시 성동구,37.56342721,127.0369301
서울특별시 은평구 은평로8길 12(응암동 110-25),37.5993191,126.9203735
서울특별시 은평구 연서로 104(역촌동 8-64),37.60817471,126.9157769
서울특별시 중구 소공로 51우리은행 본점(지하3층 주차장),37.55943907,126.9817507
서울특별시 마포구 월드컵북로60길 17우리금융센터(지하2층 주차장),37.58338542,126.8859923
서울특별시 중구 다산로 261(106 을해빌딩),37.56637222,127.015892
서울특별시 용산구 유엔빌리지길 80-36장학파르크B2,37.53139326,127.0114961
서울특별시 서대문구 북가좌동 수색로 100,37.57472719,126.9078149
서울특별시 서대문구 남가좌동 388,37.57936243,126.9208403
서울특별시 서대문구 북가좌동 거북골로14길 32,37.57695495,126.9144668
서울특별시 용산구 이촌동 이촌로64길 15,37.52035551,126.9713608
서울특별시 중구 만리동1가 231지하,37.55586846,126.9670017
서울특별시 성동구 금호동1가 금호로 140,37.55372558,127.0219293
서울특별시 마포구 용강동 토정로31길 24,37.54235443,126.9437583
서울특별시 종로구 내수동 사직로8길 34,37.57356698,126.9721549
"서울특별시 마포구 만리재로 36 (신공덕동, 공덕 아이파크)",37.54457068,126.9564849
서울특별시 마포구 공덕동 백범로 152,37.54474774,126.9482582
서울특별시 마포구 공덕동 백범로 152 ,37.54474774,126.9482582
서울특별시 종로구 사직동 사직로8길 4,37.57465403,126.9685752
서울특별시 용산구 용산동6가 11-426,37.52329529,126.979065
서울특별시 중구 장충단로 59,37.55199491,126.9992673
서울특별시 종로구 삼청로 30,37.57862803,126.980088
서울특별시 성동구 금호동2가 금호로 117,37.55306047,127.0214356
서울특별시 은평구 진관동 65-31,37.6403185,126.9200455
서울특별시 서대문구 남가좌동 증가로 191 ,37.57849412,126.9173896
서울특별시 중구 소공로 35,37.55822471,126.9817445
서울특별시 중구 충무로4가 퇴계로 235,37.5625144,126.9978244
서울특별시 중구 회현동1가 산 1-19,37.55656965,126.9840906
서울특별시 중구 다산로 32 1동,37.54716677,127.0056772
서울특별시 마포구 연남동 동교로39길 11 ,37.5616901,126.9236665
서울특별시 용산구 한강로1가 64,37.53717561,126.972985
서울특별시 중구 순화동 서소문로9길 28,37.56370849,126.970043
서울특별시 서대문구 냉천동 독립문로14길 33,37.56591992,126.9592895
서울특별시 중구 을지로 281,37.56801422,127.0109091
서울특별시 종로구 구기동 비봉2길 32,37.61170433,126.9585924
서울특별시 용산구 이촌로 100-8,37.52448791,126.9579682
서울특별시 마포구 용강동 토정로31길 23 ,37.54163226,126.9414797
서울특별시 마포구 상수동 독막로20나길 22,37.54606939,126.9248948
서울특별시 마포구 상수동 독막로20나길 21 ,37.54687421,126.9269794
서울특별시 용산구 이촌동 이촌로 300,37.51784399,126.9803234
서울특별시 중구 황학동 청계천로 400,37.57081055,127.0214639
서울특별시 종로구 숭인동 종로 347,37.57405626,127.016
서울특별시 마포구 공덕동 마포대로 109 ,37.54511882,126.9508863
서울특별시 성동구 응봉동 고산자로4길 34,37.55265337,127.03686
서울특별시 용산구 백범로 341,37.53793867,126.9679734
서울특별시 용산구 원효로1가 백범로 341 ,37.53793867,126.9679734
서울특별시 마포구 용강동 마포대로1길 21,37.53985873,126.9422084
서울특별시 마포구 도화동 삼개로 38,37.53666293,126.9471125
서울특별시 마포구 아현동 마포대로 195 ,37.55243035,126.9543047
서울특별시 마포구 마포대로 195(래미안 푸르지오),37.55243035,126.9543047
서울특별시 마포구 토정로37길 38,37.5420524,126.9466316
서울특별시 마포구 대흥동 804,37.54918542,126.9420138
서울특별시 마포구 아현동 738,37.55217754,126.9555087
서울특별시 마포구 합정동 473,37.55105318,126.9118655
"서울특별시 마포구 월드컵로1길 14 (합정동, 마포 한강 푸르지오)",37.5500498,126.9120613
서울특별시 용산구 용산동2가 녹사평대로 245,37.54019112,126.987079
서울특별시 종로구 명륜2가 창경궁로 265,37.58587613,126.999602
서울특별시 서대문구 홍제동 통일로 344,37.58127279,126.9514397
서울특별시 종로구 무악동 통일로 246-20,37.57692961,126.9619148
서울특별시 마포구 신공덕동 백범로 230,37.54185288,126.9545031
서울특별시 마포구 월드컵로 240,37.56828845,126.897273
서울특별시 마포구 상암동 월드컵로 338 ,37.57277235,126.8900873
서울특별시 은평구 통일로 659,37.60535325,126.9333817
서울특별시 서대문구 통일로26길 41,37.58302235,126.9523507
서울특별시 은평구 갈현로7길 49,37.60435678,126.9056642
서울특별시 성동구 자동차시장길 49,37.55868506,127.0578512
서울특별시 성동구 뚝섬로1길 31(서울숲 M타워),37.54409068,127.0464584
서울특별시 성동구 금호동4가 금호로 15,37.5438567,127.0227246
"서울특별시 중구 세종대로 110 (태평로1가, 서울시청)",37.56631742,126.9778292
서울특별시 중구 퇴계로 140,37.56065608,126.9874691
서울특별시 중구 남대문로 92,37.56527588,126.9833719
서울특별시 은평구 백련산로 90,37.59397026,126.9232106
서울특별시 종로구 종로5길 58,37.57290955,126.9803371
