주소,y,x
종로구 지봉로5길 7-5(창신동),37.57350028,127.0143661
종로구 삼청로107(삼청동),37.58500537,126.9818567
종로구 혜화로12(혜화동),37.58685452,127.000564
종로구 통일로14길 36,37.57600022,126.9581596
종로구 삼일대로30길 47,37.57449203,126.9902334
종로구 평창문화로 65,37.60637332,126.9683674
종로구 인왕산로1길 21,37.57420982,126.964661
종로구 새문안로2길 22(신문로2가),37.56926805,126.9728922
종로구 율곡로19길 17-8(이화동),37.57666791,127.0060206
종로구 지봉로13길 82(창신동),37.57719623,127.0121786
종로구 율곡로19길17-8(이화동),37.57666791,127.0060206
종로구 통일로14길19(무악동),37.57541578,126.9577618
종로구 자하문로 89(신교동),37.58402744,126.9699743
종로구 통일로18길 64(무악동),37.5760945,126.9603603
종로구 자하문로35길 21(청운동),37.58837042,126.9660526
종로구 성균관로1길 6-3(명륜3가),37.58343829,126.9977809
종로구 낙산성곽동길 69(창신동),37.57855434,127.0085872
종로구 북촌로 134-3(삼청동),37.58797869,126.9840868
종로구 청운동7-27,37.58952896,126.965589
종로구 명륜길 26,37.58868588,126.9955402
종로구 율곡로19길 17-8,37.57666791,127.0060206
서울 은평구 녹번동 87-1,37.60254564,126.9296002
서울 은평구 갈현동 502-3 갈현2동주민센터,37.61860064,126.9158471
서울 은평구 수색동 363-12,37.58346698,126.8937459
서울 은평구 신사동 29-2 신사1동주민센터,37.59783432,126.9118366
서울 은평구 역촌동 62-26 역촌동주민센터,37.60442825,126.9151881
서울 은평구 응암1동 96-3 응암제1동주민센터,37.60076032,126.9267773
서울 은평구 응암2동 229-13 응암제2동주민센터,37.59450413,126.9231174
서울 은평구 응암3동 583-22 응암제3동주민센터,37.59224016,126.9156624
서울 은평구 진관동 78 진관동주민센터,37.63492833,126.9209525
서울 은평구 구산동 17-33,37.60974314,126.9127783
서울 은평구 진관동 125,37.63124079,126.9251123
서울 은평구 구산동 340-6 구립구산어린이집및경로당,37.6148159,126.9079301
서울 은평구 역촌동 66-11 역촌2동구립어린이집,37.6026551,126.9139476
서울 은평구 신사동 1-69,37.59927493,126.9131869
서울 은평구 대조동 172-23,37.61003968,126.9214126
서울 은평구 불광1동 297-14 연신교회,37.61839492,126.9241818
서울 은평구 대조동 208-11,37.61345355,126.9219853
서울 은평구 응암동 126-46,37.59457325,126.9167693
서울 은평구 갈현동 415-2,37.62488521,126.9186807
서울 은평구 응암동 42-5 서울특별시 꿈나무 마을,37.59793229,126.9288382
서울 은평구 녹번동 86-157 은평구건강가정다문화가족지원센터,37.60418815,126.9296083
서울 은평구 구산동 17-37,37.60955279,126.9130609
서울 은평구 진관동 135-5 은평역사한옥박물관,37.64040852,126.9380522
서울 은평구 응암동 114-10,37.59785364,126.9157091
서울 은평구 역촌동 14-34 은평구평생학습관,37.60779868,126.9211883
서울 은평구 녹번동 85-4 은평문화예술회관,37.60391603,126.9283635
서울 은평구 신사동 237,37.59633431,126.9057193
서울 은평구 녹번동 71-19 녹번산골마을 주민공동체운영회,37.59895907,126.9384674
서울 은평구 응암동 31-10 응암산골마을,37.59815535,126.9365292
서울 은평구 진관동 72-26,37.64427926,126.9138285
서울 은평구 응암동 114-9,37.59834722,126.9161047
마포구 월드컵로 212,37.56631284,126.9016157
마포구 방울내로 21,37.55846742,126.8982201
마포구 창전동 3-242,37.5520066,126.9291
마포구 상암산로1길 67,37.58032229,126.8838463
마포구 신촌로26길 10,37.55585099,126.9423726
마포구 월드컵로36길 15,37.56646287,126.9025023
마포구 동교로 15길07,37.55511048,126.9145897
마포구 월드컵로 215,37.5655,126.9003702
마포구 상암산로1길 71,37.58050472,126.8835518
마포구 월드컵로25길 190,37.55676534,126.8969648
마포구 매봉산로 18,37.57417444,126.8899465
마포구 만리재옛길 78-1,37.54991997,126.9594451
마포구 성산로 128,37.56379544,126.9082019
마포구 성산로4길 15,37.56336849,126.9078957
마포구 성산동 445,37.57359668,126.9009891
마포구 월드컵북로 494,37.58464743,126.8805203
마포구 대흥로20길 28,37.54990609,126.9455338
서울시 용산구 청파동,37.5454308,126.9698637
서울시 성동구 송정동,37.55453226,127.0695691
서울시 중구 필동,37.56016408,126.9955995
서울시 중구 태평로,37.56770872,126.9772348
서울시 서대문구 홍은동,37.59089081,126.9332187
서울시 서대문구 대신동,37.56406497,126.9443304
서울시 중구 오장동,37.56491061,127.0006927
서울시 서대문구 남가좌동,37.57554738,126.9195484
서울시 성동구 성수동,37.54172539,127.043351
